,Unnamed: 0.1,Unnamed: 0,Premise 1,Premise 2,Conclusion,Premise 1_f1,Premise 2_f1,index
0,0,1457,"In populations that have high levels of fiber, heart attacks and stroke, diabetes, epilepsy and seizures, and oral health problems are very low.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per day, heart attacks and stroke are very low.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.",0.9004920721054077,0.9420629739761353,1
1,1,1942,Children to enjoy learning tend to stay active,An ideal learning environment encourages children to engage in activities,An ideal learning environment encourages children to enjoy learning,0.8959804177284241,0.913974404335022,2
2,2,486,Women are not able to demand rights of closing wage gap easily.,Job discrimination comes with low wages.,Job discrimination comes with not being able to demand rights of closing wage gap easily.,0.94180428981781,0.9273081421852112,3
3,3,1458, stomach reflexes can lead to stomach irritation.,Aggression brings about aggressive behavior.,Aggression brings brings serious health problems such as stomach reflexes.,0.9013961553573608,0.9344888925552368,4
4,4,1943,Batman activated the motion detectors.,The use of an electronic disruptor opened an access for police forces to regain the control of Miagami Island.,Batman opened an access for police forces to regain the control of Miagami Island.,0.9255661964416504,0.961403787136078,7
5,5,1459,Occupational therapy can help children to become active,Developing critical thinking skills can help children to be self-motivated,Occupational therapy can help children to be self-motivated,0.9165499210357666,0.904568374156952,8
6,6,972,Developing international trade allows for more comfortable cash-flow management,The World Trade Organization work towards the development of a more efficient financial system, World Trade Organization work towards the  more comfortable cash-flow management,0.927122175693512,0.9311776757240297,9
7,7,1460,Fast food is known to contain high levels of protein.,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,0.916056990623474,0.9615586400032043,10
8,8,487,Insulin allows your body to transport glucose from your bloodstream to your cells more efficiently,Intermittent fasting increases insulin sensitivity,Intermittent fasting allows your body to transport glucose from your bloodstream to your cells more efficiently,0.9673908352851868,0.9850630164146424,11
9,9,1461,creative services could impact on overall unemployment,creative services could impact on overall unemployment,creative services could impact on overall unemployment,0.8997509479522705,0.8937522172927856,16
10,10,973,Asghar Farhadi is one of the best-selling directors of all time.,The Best Foreign Language Film honors the corresponding cinema industry.,Asghar Farhadi honors the corresponding cinema industry.,0.8868556022644043,0.9279289245605468,17
11,11,1944, Worldwide agriculture is the largest employer of children,Child labour interferes with children's ability to attend regular school, Worldwide agriculture is the largest employer  that interferes with children's ability to attend regular school,0.9530869126319884,0.9625908136367798,18
12,12,974,Exam time pressure increases the amount of gas in your abdomen,increased stress makes digestion less efficient ,Exam time pressure makes digestion less efficient ,0.8962375521659851,0.9579243063926696,20
13,13,488,Avicenna was one of the first physicians of Iran.,The ancient medicine influenced modern medicine.,Avicenna influenced modern medicine.,0.8724254369735718,0.8899194002151489,22
14,14,975,People's life easier during the last decades.,cars made people's life easier during the last decades.,cars made people's life easier during the last decades.,0.903292715549469,0.905972957611084,24
15,15,976,franchisees tend to be more efficient,franchisees will experience less financial risks,franchisees will experience less financial risks,0.9307191967964172,0.9095084071159364,25
16,16,1945,Flooding may occur as an result of melting the snow on mountains , melting the snow on mountains increases the water level,Flooding may occur as an result of melting the snow on mountains ,0.9047228693962096,0.9346072673797609,26
17,17,977,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields","farm animals have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers","horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",0.9420207142829896,0.9837531447410583,28
18,18,0,Smoking can contribute to wrinkles.,The repetitive pursing lips when inhaling and squinting eyes can contribute to wrinkles.,"The repetitive pursing lips when inhaling and squinting your eyes to keep out smoke, when smoking can contribute to wrinkles.",0.8738533854484558,0.9175719022750854,29
19,19,1946,Early Egyptians’ writing system was based on hieroglyphic scripts., Hieroglyph is currently out-dated.,Early Egyptians’ writing system is currently out-dated.,0.9374384880065918,0.9488526582717896,30
20,20,489,Soldiers excavated the ground.,Destroying enemy trenches minimized the projectile impact of enemy’s artillery.,Soldiers minimized the projectile impact of enemy’s artillery.,0.9191638827323914,0.950741171836853,33
21,21,1947,The gene responsible for determining hair color is MC1R.,"If MC1R is active, it produces eumelanin and a person will have darker skin and hair.","If the gene responsible for determining hair color is active, it produces eumelanin and a person will have darker skin and hair.",0.9828656315803528,0.9830050468444824,35
22,22,1948,During the first few weeks after someone contracts HIV the immune system responds by producing HIV antibodies.,The person’s immune system responds by producing HIV antibodies.,"During the first few weeks after someone contracts HIV the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",0.9265708327293396,0.9508154392242432,36
23,23,490," atherosclerosis is a disease characterized by fatty, artery-clogging deposits.",Consuming too much sugar especially from sugar-sweetened drinks has been kinked to atherosclerosis.,"Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease characterized by fatty, artery-clogging deposits.",0.9762821197509766,1.0000001192092896,37
24,24,1462,Your thoughts creates your behavior.,Your thoughts create your behavior.,Your thoughts creates your behavior.,0.964375913143158,0.9509314894676208,40
25,25,1,I won't buy this lamp if it's too expensive,I won't buy this lamp,I won't buy this lamp,0.9117931127548218,0.9069743156433104,41
26,26,978,Robins have feathers.,Robins have feathers.,Robins have feathers.,0.8907394409179688,0.9106675386428832,44
27,27,1463,Growing a wide range of crops help the economic.,Farmers help the economic.,Farmers help the economic.,0.9098005890846252,0.9076898694038392,47
28,28,1464,Most U.S. Teens Struggle with Anxiety,Most U.S. Teens See mental illness as a Major Problem Among Their Peers,Most U.S. Teens See mental illness as a Major Problem Among Their Peers,0.9126538634300232,0.9830818176269532,53
29,29,2,Focusing on work is closely interwoven with avoiding conflict,Self-confidence is closely interwoven with not being concerned with the welfare of the society ,Focusing on work is closely interwoven with not being concerned with the welfare of the society ,0.8925426602363586,0.9542784690856934,61
30,30,491,Smoking reduces the flow of blood vessels.,Reduction of oxygen in the body makes skin paler.,Smoking decreases blood flow and makes skin paler.,0.934597909450531,0.9132747054100036,62
31,31,979,Vitamin C found in lemons may help you look younger,Lemons may help you look younger,Vitamin C found in lemons may help you look younger,0.9576124548912048,0.8891765475273132,63
32,32,492,massage increases the flow of blood,increased blood flow decreases the risks of venous disorders,massage decreases the risks of venous disorders,0.970526158809662,0.9728193879127502,65
33,33,1465,Vinegar inhibits food from spoiling,Preventing food from spoiling,Vinegar inhibits food from spoiling,0.9429125189781188,0.8870197534561157,67
34,34,1949,the Italian Renaissance painter was Considered by some the greatest artist of all time,the Italian Renaissance painter Michelangelo created the Last Judgment,the Italian Renaissance painter Michelangelo is Considered by some the greatest artist of all time,0.9261246919631958,0.8958967328071594,70
35,35,1950,The person is alive when bitten.,The International Shark Attack File describes shark attacks as,The International Shark Attack File describes shark attacks as the person is alive when bitten.,0.9414132833480836,0.9638031125068665,71
36,36,1951,Babies can see an adult following their gaze and try to draw the adult’s attention.,Both are looking very quickly at the object of interest until both are engaging.,Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest until both are engaging.,0.9538366794586182,0.9169635772705078,72
37,37,493,Your child is more likely to make logical decisions when you develop a sense of trust in him,You develop a sense of trust in him,Your child is more likely to make logical decisions when you develop a sense of trust in him,0.9260171055793762,0.92332261800766,78
38,38,1466,Internet access is limited,There is no kind of marketing service in the world that would be suitable for small businesses,There is no kind of marketing service in the world that would be suitable for small businesses,0.8697981238365173,0.976696252822876,82
39,39,494,Better class materials allow students to learn better class materials.,students can use iPads to learn better class materials.,students can use iPads to learn better class materials.,0.9216115474700928,0.9516803622245787,85
