Premise 1,Premise 2,Syllogistic relation,Conclusion,index
"unchecked imbalances in the society, will see its destabilization",correct these imbalances requires in-depth knowledge and understanding of the energies of the mineral kingdom.,no,No conclusion,0
"Chronic diseases are heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, chronic diseases are very low.",yes,"In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.",1
Formative assessment encourages children to enjoy learning,An ideal learning environment uses formative assessment,yes,An ideal learning environment encourages children to enjoy learning,2
Underrepresented female labor force in some professions cannot demand their rights of closing wage gap easily.,Job discrimination comes with underrepresented female labor force in some professions.,yes,Job discrimination comes with not being able to demand rights of closing wage gap easily.,3
damaged mentality in an individual brings serious health problems such as stomach reflexes.,Aggression harms the mentality of person.,yes,Aggression brings brings serious health problems such as stomach reflexes.,4
ElNin?o is a regulary occurring climate pattern.,A frequently repeated climate pattern is called El Nino.,no,No conclusion,5
Your speech creates your behavior.,your behavior is impressed by your speech,no,No conclusion,6
Batman used electronic disruptor to malfunction enemy’s motion detectors.,Failure of motion detectors opened an access for police forces to regain the control of Miagami Island.,yes,Batman opened an access for police forces to regain the control of Miagami Island.,7
"Occupational therapy can help children with coordination, focus and organizational skills. ",focused children are self-motivated,yes,Occupational therapy can help children to be self-motivated,8
"When global business progress, cash-flow management becomes more comfortable.", World Trade Organization work towards the facilitation and growth of international trade.,yes, World Trade Organization work towards the  more comfortable cash-flow management,9
Fast food is also often very low in fresh fruit and vegetables.,Foods which are often very low in fresh fruit and vegetables makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,yes,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,10
Decreasing insulin resistance allows your body to transport glucose from your bloodstream to your cells more efficiently,Intermittent fasting reduces insulin resistance,yes,Intermittent fasting allows your body to transport glucose from your bloodstream to your cells more efficiently,11
The administrator at Street Help in Windsor is changing her tune.,Assessment of street situations can help the driver act better. ,no,No conclusion,12
"Since the supermarket opened, many small local shops have lost up to 50 percent of their trade.",Bandar Abbas is the main channel of import and export trade.,no,No conclusion,13
High expenses of projects are not welcomed by companies.,The corporates didn’t welcome the project due to high cost of it.,no,No conclusion,14
Do you like red grape or all grape varieties?,There are polyphenols in all grape types.,no,No conclusion,15
encouraging employment in the fast growing creative industries impacts overall unemployment,Creative services are likely to become a fastgrowing sub-sector of the creative economy.,yes,creative services could impact on overall unemployment,16
Asghar Farhadi has received two Academy Awards for Best Foreign Language Film for his films A Separation and The Salesman.,Receiving an oscar for best foreign movie honors the corresponding cinema industry.,yes,Asghar Farhadi honors the corresponding cinema industry.,17
 Worldwide agriculture is the largest employer of kids for hand working., child labor interferes with their ability to attend regular school ,yes, Worldwide agriculture is the largest employer  that interferes with children's ability to attend regular school,18
"In protestant reformation, criticizing the catholic was ended.",She ended to criticize and went to the church.,no,No conclusion,19
Exam time pressure increases stress levels,Stressing out makes digestion less efficient ,yes,Exam time pressure makes digestion less efficient ,20
moving to office demands money for commuting., Winning Barcelona demands high level of hard working.,no,No conclusion,21
Avicenna wrote famous book Al Qanun Fi Al-Tibb.,Al Qanun Fi Al-Tibb influenced modern medicine.,yes,Avicenna influenced modern medicine.,22
You can lower your electricity bill by using less heat.,"Less heat, reduces your electricity bill",no,No conclusion,23
All discoveries make people's life easier.,cars were one of the most important inventions during the last decades.,yes,cars made people's life easier during the last decades.,24
franchisees have the backing of an established corporation,you will experience less financial risks when you have the support of an acknowledged organization ,yes,franchisees will experience less financial risks,25
Flooding may occur as an overflow of water from water bodies,melting the snow on mountains may result in some of that water escaping its usual boundaries.,yes,Flooding may occur as an result of melting the snow on mountains ,26
"When brain chemicals function in different ways, we behave differently",Different behaviors come from different functionality of brain chemicals.,no,No conclusion,27
"Working animals, include horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs","Working animals,have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",yes,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",28
Facial expressions mean pursing your lips when inhaling and squinting your eyes to keep out smoke.,The repetitive facial expressions you make when smoking can contribute to wrinkles.,yes,"The repetitive pursing lips when inhaling and squinting your eyes to keep out smoke, when smoking can contribute to wrinkles.",29
Early Egyptians’ writing system were Hieroglyph.,Hieroglyphic scripting method is currently out-dated.,yes,Early Egyptians’ writing system is currently out-dated.,30
A very large revenue is needed for marketing on national media.,Marketing on national media can not be done without a very large revenue,no,No conclusion,31
One of the factors that leads to the cultivation of violent conduct is consuming violent and sadistic material.,violent and abusive content can result in aggressive behaviour,no,No conclusion,32
