,index,Premise 1,Conclusion,Premise 1_f1
0,1,"In populations that have high levels of fiber, heart attacks and stroke, diabetes, epilepsy and seizures, and oral health problems are very low.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.",0.9004920721054077
1,2,Children to enjoy learning tend to stay active,An ideal learning environment encourages children to enjoy learning,0.8959804177284241
2,3,Women are not able to demand rights of closing wage gap easily.,Job discrimination comes with not being able to demand rights of closing wage gap easily.,0.94180428981781
3,4, stomach reflexes can lead to stomach irritation.,Aggression brings brings serious health problems such as stomach reflexes.,0.9013961553573608
4,7,Batman activated the motion detectors.,Batman opened an access for police forces to regain the control of Miagami Island.,0.9255661964416504
5,8,Occupational therapy can help children to become active,Occupational therapy can help children to be self-motivated,0.9165499210357666
6,9,Developing international trade allows for more comfortable cash-flow management, World Trade Organization work towards the  more comfortable cash-flow management,0.927122175693512
7,10,Fast food is known to contain high levels of protein.,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,0.916056990623474
8,11,Insulin allows your body to transport glucose from your bloodstream to your cells more efficiently,Intermittent fasting allows your body to transport glucose from your bloodstream to your cells more efficiently,0.9673908352851868
9,16,creative services could impact on overall unemployment,creative services could impact on overall unemployment,0.8997509479522705
10,17,Asghar Farhadi is one of the best-selling directors of all time.,Asghar Farhadi honors the corresponding cinema industry.,0.8868556022644043
11,18, Worldwide agriculture is the largest employer of children, Worldwide agriculture is the largest employer  that interferes with children's ability to attend regular school,0.9530869126319884
12,20,Exam time pressure increases the amount of gas in your abdomen,Exam time pressure makes digestion less efficient ,0.8962375521659851
13,22,Avicenna was one of the first physicians of Iran.,Avicenna influenced modern medicine.,0.8724254369735718
14,24,People's life easier during the last decades.,cars made people's life easier during the last decades.,0.903292715549469
15,25,franchisees tend to be more efficient,franchisees will experience less financial risks,0.9307191967964172
16,26,Flooding may occur as an result of melting the snow on mountains ,Flooding may occur as an result of melting the snow on mountains ,0.9047228693962096
17,28,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields","horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",0.9420207142829896
18,29,Smoking can contribute to wrinkles.,"The repetitive pursing lips when inhaling and squinting your eyes to keep out smoke, when smoking can contribute to wrinkles.",0.8738533854484558
19,30,Early Egyptians’ writing system was based on hieroglyphic scripts.,Early Egyptians’ writing system is currently out-dated.,0.9374384880065918
