,Unnamed: 0,index,Premise 1,Premise 2,Conclusion,Premise 1_f1,Premise 2_f1
0,1457,1,"In chronic diseases such as heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per day,ronic diseases are very low.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.",0.9595931172370911,0.9386772513389587
1,1942,2,formative learning encourages children to enjoy learning,An ideal learning environment is one with structured assessment,An ideal learning environment encourages children to enjoy learning,0.9551486372947693,0.921288013458252
2,486,3,Unrepresented women are not able to demand rights of closing wage gap easily.,Job discrimination comes with underrepresented female labor force in some professions.,Job discrimination comes with not being able to demand rights of closing wage gap easily.,0.9510087370872498,0.9999998211860657
3,1458,4,Negative thinking brings brings serious health problems such as stomach reflexes.,Aggression creates a negative attitude in an individual.,Aggression brings brings serious health problems such as stomach reflexes.,0.9373823404312134,0.9529967904090881
4,1943,7,Batman failed to activate his motion detectors.,The use of electronic disruptor opened an access for police forces to regain the control of Miagami Island.,Batman opened an access for police forces to regain the control of Miagami Island.,0.9191264510154724,0.9617771506309509
5,1459,8,Occupational therapy can help children to become more active,Developing critical thinking skills can help children to be self-motivated. ,Occupational therapy can help children to be self-motivated,0.9193416833877563,0.9078666567802429
6,972,9,Improved international trade facilitates more comfortable cash-flow management. ,The World Trade Organization work towards the development of global business., World Trade Organization work towards the  more comfortable cash-flow management,0.9333113431930542,0.953481137752533
7,1460,10,Fast food is often very low in fresh fruit and vegetables.,Low in fresh fruit and vegetables makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,0.9945552945137024,0.96812504529953
8,487,11,Insulin resistance allows your body to transport glucose from your bloodstream to your cells more efficiently,Intermittent fasting lowers insulin resistance,Intermittent fasting allows your body to transport glucose from your bloodstream to your cells more efficiently,0.9814364910125732,0.9953275322914124
9,1461,16,The growth of creative services could impact on overall unemployment,creative services could encourage employment in the fast growing creative industries,creative services could impact on overall unemployment,0.9192795753479004,0.9085898995399475
10,973,17,Asghar Farhadi received an oscar for best foreign movie.,The Best Foreign Language Film honors the corresponding cinema industry.,Asghar Farhadi honors the corresponding cinema industry.,0.9217778444290161,0.9279288053512573
11,1944,18, Worldwide agriculture is the largest employer ,hand working interferes with children's ability to attend regular school., Worldwide agriculture is the largest employer  that interferes with children's ability to attend regular school,0.9418250918388367,0.9587879776954651
